,mention,class
7129,"Товар шёл ОЧЕНЬ ОЧЕНЬ долго. Электризуется, волосы и шерсть к ткани липнут. Так же есть дырка на спине, из-за чего мы открыли спор, но спор через два дня закрыли, посчитав дырку ""просто белым пятном"", и не вернув часть стоимости некачественного товара. НЕ РЕКОМЕНДУЮ.",negative
34262,"симпатичная, яркий цвет) а вот фасон непонятный - рукава короткие на рост 177, и передние половинки высоки пришиты. Подмышками много материала, если кофту спустить на плечи.",neautral
51308,"заказала совсем другой цвет, теплого начеса зимнего нет, заказ шел очень долго очень разочарована за такие деньги",neautral
42718,Товар не пришёл! Открыла спор деньги вернули!,neautral
28061,"Некачественный пошив, неаккуратно.",neautral
8989,"это просто ужас!!!! первый раз я здесь встречаю такое!!!! ни товара ни денег! все началась с того , что у меня заканчивалась защита товара,а товар был ещё в пути,продавец на это посоветовал мне открыть спор,в итоге я открыла спор, а через день товар уже отслеживался на почте в моем городе и спор закрыли.Я приехала на почту им ничего не приходило,причем ни в одном отделение связи нашего города, через пару дней опять ничего , пишу продавцу он говорит открыть спор и вернёт деньги!!! объясняю, что спор уже закрыли и в итоге продавец молчит!!!!",negative
44678,"Доставка очень быстрая 10 дней, качество толстовки ужасное, тонкая, скрипучая синтетика ",neautral
57987,Просто замечательная юбка)Правда я думала что цвет будет  немного другой. А все остальное по высшему разряду доставка супер быстрая) Качество на высшем уровне),positive
58722,Продавца рекомендую! Заказала уже второе пальто. Пальто пришло темно-серого цвета. Подошло по размеру. Огромное спасибо!,positive
25526,прошло после отправки 3 месяца товар не получили. продавца не рекомендую.!!!,negative
7637,криво пошита ткань. большой размер.,negative
11920,"заказ так и не пришел. деньги вернули
 только за саму шапку, то что оплатила за доставку, так и не вернули.",negative
74234,"Сели как влитые , размер соответствует российским , как в магазине . На ощупь приятные, только не известно будет ли линять краска после стирки . Продавцу спасибо ! ",positive
46823,"не соответствует фото, очень прозрачный материал, на фото более плотная ткань, , хотя у девочек из отзывов зеленое более менее смотрится",neautral
9394,"ничего не получила,деньги вернули",negative
7555,"Посылка шла три месяца , но так м не дошла , денег продавец не вернул !",negative
15815,"Голая синтетика!!! Просвечивает ужасно, на рост 170 попу почти не прикрывает!!! Но за такие деньги другого можно было и не ожидать...",negative
14882,"Вообще не то что на картинке, фигня полная, но за такие деньги пофиг",negative
62971,Юбка отличного качества.На 73-94 М-ка села как влитая.Спасибо девочкам за отзывы.С продавцом не общалась.,positive
61814,"неплохая толстовка, плотный теплый материал, размер ХL сел хорошо",positive
1051,получила очень маленький размер на размер l талия очень маленькая,negative
65404,Очень долго,positive
9672,"Заказ не пришёл, открыла спор,в итоге тишина(((
Очень печально!!",negative
24485,"Кофточка пришла быстро, но я была разочарована. Заказывала второй раз. Первый раз заказывала черную, ношу  часто, очень нравиться. Решила заказать белую. Грустно. Не ожидала такого ужасного качества. Просвечивает, ткань не понятно какая, в каких то полосах . И носить очень даже стыдно такую вещь.",negative
25171,"несколько раз до заказа пыталась связаться с продавцом для уточнения размера вещи. ждала ответа 2 недели так и не дождалась. взяла, по таблице размерной, оплатила платную доставку, потому что зима уже пришла,  прождала больше месяца но с размером не угадала. написала продавцу. в итоге он меня закидал своими таблицами и заявил что надо было смотреть внимательней мол сама виновата. открыла спор, алиэкспресс сразу встали на мою сторону, и вернули половину стоимости. спасибо большое им. 
размер Л на ребенка-подростка худого. по качеству куртка ниже среднего лайба прошита криво везде торчат нитки...",negative
49740,Синтетика!!!штаны короткие и широкие,neautral
52459,"даже не знаю как описать ощущения.Сарафан интересный,из костюмной ткани,но юбка по бокам сшита безобразно,топорщится.в кармане была огромная дыра.на бедра 97 в
 обтяжку L,хотя хотела с запасом чтобы было.Рубаха ткань
 непонятная,шуршит,в комплекте не очень.Планирую носить сарафан с водолазкой.Ожидала большего ,но носить можно,смотрится довольно секси-офис.",neautral
69436,"джинсы супер,ткань плотная,на рост 176 см не короткие
об130,ОТ98 размер хорошо",positive
17976,"ЭТО ПИЗДЕЦ, ТОВАРИЩИ! Заказала 5 - 6 недель назад где-то , доставка “rsprs” все время отслеживалась, до момента пока статус не поменялся на «невозможно доставить» Я ПИСАЛА из-за этого продавцу, он говорил «всё ок, ждите, если что ВЕРНЁМ деньги» я ждала, потом срок защиты заказа истёк и ДЕНЬГИ НЕ ВЕРНУЛИ!!!! НИ КОПЕЙКИ!!! Все фото есть! Продавец обманывает!!!!",negative
74204,"они шикарные, я даже не ожидала такого качества, мягкие мягкие, талия высокая, как я люблю, на 46 размер идеально. В общем,рекомендую!!! Спасибо продавцу!",positive
47314,товар шел очень медленно заказывала 11.11.2017 заказ пришел 4.01.2018. 2 месяца почти это в краснодарский край. топ хорошенький но девочки заказывайте на грудь не больше 2 потому что уже на 3 туговато чашечки присутствуют но круглые и не на всю поверхность груди,neautral
7679,"Продавец обманщик!!! не заказывайте у него ничего!! заказы не отслеживаются, потому что он даёт левые треки для отслеживания. долго тянет время при открытии спора и уверяет, что заказ отправлен, а на деле ни денег и товара. деньги не вернули. Позор!!!!! Осторожно мошенники!!!!!",negative
55284,На рост 178 размер л отличные тёплые ,positive
80284,Колготки супер! Буду заказывать ещё!,positive
38562,товар не пришёл. деньги вернули.,neautral
16710,"штаны дерьмовые,сразу сорвались в промежности ,мнутся безбожно.",negative
44786,"пуховик хорошего качества, немного размер не соответствует, но в целом я довольна",neautral
76943,"быстро пришёл , очень мягкий",positive
79075,"Неплохие тонкие штанишки,мне понравились.Материал приятный.На 52 размер можно было взять xxl.А вот на рост 172 см. можно было бы и покороче,но это лучше когда коротки.",positive
41786,"размер как минимум на 46. На мой 42 большие,сползают и коротковаты",neautral
18274,"не тратьте свои деньги...даже такие маленькие, качество отстой лэйба кривая, нитки из лэйбы торчат. Стирки не переживет.",negative
22059,"Очень огорчена! Запах у юбки невыносимый - тухлая еда, может рыба - просто кошмар! Не выветривается и не проходит после длительной и неоднократной стирки и ополаскивания! Хотелось бы вернуть!!!!!!",negative
30008,"Доставка быстрая! И всё бы не чего, но большая дыра в области колена в шаровом шве испортила и разочаровала...",neautral
75396,"Тянется хорошо, но на мой рост 173 рукава хотелось бы подлиннее. Очень приятная на ощупь.",positive
41385,"Галимая синтетика и принт плохой, с пробелами!",neautral
14719,"товар не пришёл, деньги вернули",negative
265,"Девочки! Не покупайте этот костюм! Просто потраченные в пустую деньги. Тонкий, а штаны это вообще кошмар! ",negative
36176,"размер мой, НО на мой рост короткие",neautral
3590,За 3 месяца ничего не пришло. Отвратительный продавец ничего не хотел возвращать и все время клянчил закрыть спор!,negative
66372,"До Питера заказ пришёл за две недели.Сшито качественно,правда сомневаюсь,что это хлопок.Сильно смахивает на синтетику.",positive
47277,"Плащ соответствует фотографиям, представленным продавцом, но к сожалению, товар не высокого качества. Везде торчат нитки, строчки неровные, края обрезаны криво. Один из карманов зажеван швейной машинкой. 
Ранее в этом магазине покупала платье. У платья пошив был прекрасный. 
А вот плащ разочаровал.",neautral
15946,"Кривое боди, нитки торчат со всех сторон, застежки (на липучке) неудобные и колючие. Доставка была очень долгая.Не успела вытащить из пакета, как эти пластмассовые закрепушки оторвались. Написала продавцу, говорит что ничего плохого здесь не вижу. Ок. Лови отзыв..)",negative
35272,"все хорошо, только по размеру маломерят",neautral
16783,Не довольна заказом. Описание товара продавцом не соответствует действительности. Размер совсем детский. Носить не буду. Качество не плохое.  Поставила  две звезды только из за  лукавства продавца. ,negative
7470,"конечно то ,что пришло и ,что на картинке, совершенно два разных платья. Схожи только в одном, в цвете. В юбке пышности вообще нет. Но не смотря на всё, платье село очень хорошо. на рост 168 , 60 кг взялаю М",negative
55010,Жилетка супер.  Спасибо продавцу!!! Буду  заказывать  ещё!!,positive
35531,"куртка очень странная. по бокам нашиты подушки , которые здорово прибавляют фигуре объем. но теплая. качество хорошее",neautral
62848,"отличные носочки, на мой 37 хорошо сели, после стирки не полиняли. Продавец сразу отправил заказ. спасибо ему, буду заказывать еще!",positive
13047,"платье из простыни, просвечивает. своих денег не стоит. полное г....",negative
37969,"Джинсы хорошо пошиты. Тёплые. Но они короткие. У меня не такой  уж и высокий рост. В высоких сапогах можно носить. А просто одеть невозможно.
Продавец отвечает на вопросы быстро. Сначала заказала 33 размер. Потом просила положить 32. Продавец так и сделал. За что спасибо ему большое.
На бедра 100-102 32 размер самое то. Были бы не такие короткие, было бы замечательно.",neautral
8930,"Вообще не соответсвует размерам!вообще ношу xs,но тут размер начинался с s,думаю дай ка закажу,но размер равен L,у моей мамы XL вот на неё как раз!а я ещё вторую такую заказала  только белую",negative
46611,Материал не хлопчатобумажный,neautral
21950,ждала больше 2-х месяцев товар так и не доставили! отвратительно!,negative
17533,"размер на лилипутов, галимая синтетика, просто отвратительно, еще и шло месяца 2 в Тюменскую область",negative
13816,"товар не пришел, деньги вернули.",negative
82511,"спасибо продовцу , дошло очень быстро,красивая блузка, достойное качество.",positive
36474,"Все ничего, но грудь складывать некуда. Даже мою единичку. Не удобно наверх задирается, резинка должна быть под грудью,а она над ней. На фото не видно. Цвет в реале яркий, ткань магнитится.",neautral
72222,"Здравствуйте, брюки пришли быстро, трек номер отслеживался.Качество замечательное, цвет синий, небольшой клеш книзу, стрейч, но тянутся не очень.Рекомендую к покупке.",positive
39372,"кофточка красивая, материал хороший приятный к телу. доставка долгая почти два месяца. размер немного тесен в груди, заказывала L на обхват груди 93",neautral
45304,"Заказ пришел быстро, меньше месяца до Тульской области. На свой 52 русский взяла 4XL - оказалось платье велико, при чем ооооочень. на 2 размера точно. Конечно разочарована, что не подошел размер. Платье на мне как ночнушка",neautral
23910,Вместо заявленного пуха - наполнение - голая синтетика.  Остальное описанию соответствует.  Будет холодный. Качество пошива хорошее. Швы ровные.,negative
60582,"Спасибо! Хорошее качество, в подарок получила милую резиночку. На объём бёдер 104 см. взяла XL, идеально подошли.",positive
79761,"Хороший комбез из хлопка в стиле Робы. Качество отличное. Доставка быстрая.
По объему на 54 русский, лучше брать 5XL, если любите посвободнее. Он длиннее, чем на фото. Но можно подвернуть. 
Магазином и товаром довольна. Рекоммендую",positive
22412,Ткань блузки так себе! Товар пришёл с дырками на швах!!!,negative
22845,"медленнее доставки не встречал, пришло на следующий день после открытия спора....",negative
29111,"Маломерит в плечах.Основная ткань плохого качества,подкладка есть-это плюс.Очень долго шло,открывала спор.",neautral
81462,"Отличная рубашка! Даже не ожидала! Строчки ровные, ткань х/б, пуговицы приличные (даже запасная пришита к этикетке изнутри). Р-р М на 90х70х98 - в меру свободно, с учетом того, что ткань не тянется - в самый раз. Пришла быстро. Очень довольна! Спасибо продавцу!",positive
40104,Маломерит. И к тоже штаны короткие и узкие как на карлика((( не отслеживалось.. ,neautral
47701,качество не понравилось,neautral
13705,очень короткая. на рост 164,negative
10723,Заказ доставлен быстро.Товар пришел  с дефектом-грязь с переди и сзади которая неотстировается.Очень обидно.,negative
51448,"Шапка синтетическая, волосы от неё электроризуются и лоб потом чешется, шов кривой, но цвет красивый - винный",neautral
45799,слишком уж тонкая и прозрачная ткань. и швы обработаны не качественно,neautral
18254,"Заказали размер М, пришла вообще на ребёнка. ",negative
19276,"Приятный к телу тонкий трикотаж, но пятна клея не отстирались и паетки сыпятся((",negative
12598,мошенник продавец не берите у него ничего,negative
3774,"Товар пришёл в Сургут, а заказывала в Ростов. Деньги вернули. Товар оценить не могу ",negative
51747,"слишком короткая,и в добавок узкая.на 44 заказала м маловато.",neautral
48024,"Юбка пришла в каких то пятнах, хоть и незначительных, но которые не отстирываются. За это три звезды. За доставку ставлю четыре звезды.",neautral
78000,"заказ поступил в Московскую область за 3недели. кофта на каждый день, швы ровные, нитки не торчат. единственное-xl это 48 размер. продавца рекомендую.",positive
48071,"маленькая ,хотя размер указан верно",neautral
35842,"трусики подошли 8-ми летней дочери, бюстгальтер на мой размер 80 Б...... несоответствие....",neautral
76926,Крутяяяяцкая куртка:) размер подошёл просто идеально! Спасибо) ,positive
11522,Заказ не пришел! Верните деньги!,negative
27734,"нормальный свитер, но миниатюрный. на 44 размер маловат, в обтяг и рукава коротковаты, на 40 размер самое то. доставка шла 1,5 месяца. к сожалению есть проблемы по качеству, поэтому 3 звезды. с изнанки крупная затяжка (с лицевой стороны дефекта не видно, можно носить, поэтому спор не открывала). в некоторых местах из швов торчат ниточки, в целом не особо ровные швы. на спине около проймы небольшое пятно, не сильно заметно, особенно на фото, но всё же это новая вещь и за такую стоимость хотелось бы достойного качества. в подарок положили резиночку, что, конечно, приятно. но всё же качество решает",neautral
27662,"заказ пришёл быстро но отвратный пошив,
 хотя оно стоит своих денег !",neautral
34313,"Свитер хороший, тёплый, но пришел с дырочками. Мне кажется, при такой цене он мог бы быть более качественным, хотя, в целом, я довольна.",neautral
39898,"Блузка сносная. Горло обработано крайне неаккуратно. Сделаю сама. На рост 164, вес 62  xxl оказалось впритык. расходится на груди. бюст 96 см. Так что продавцу твердый трояк, спор открывать не стану.",neautral
51517,"Очень много ниток, плохо обработаны края, горло кривое",neautral
14016,"к сожалению, заказ я не получила. заказывала платье 28.08. подтверждение отправки было в системе через 7 дней ( в последний день перед автоматической отменой). трек не отслеживался. продавец написал 15. 09 что заказаного цвета нет в наличии. выбрала другой цвет, а 19. 09 продавец вообще предложил вернуть мне деньги. деньги вернули. ставлю 2 балла, неприятные ощущения...",negative
53768,"колготки хорошие
заказала на 16.09.17 получила 13.10.17",neautral
61821,"Но рост 180 по колено,качество хорошее,доставка быстрая",positive
37316,"Свитер короткий ,на фото он намного длиннее ",neautral
61665,"Потрясающий свитер! Мягкий, красивый, теплый, качество идеальное! Очень довольна!",positive
65797,"Юбка шикарная!!!ткань мягенькая,приятная к телу, швы ровные ,?почти не мнётся, доставка быстрая.Рекомендую и товар и продавца)))",positive
16716,"Товара нет,долгий возврат со спорами и пустыми обещаниями",negative
73294,"The coat is pretty, the quality is good, everything is as in the description. Looks gorgeous. Size corresponds. The hose is detachable by 3/4. Delivery to the apartment by courier is very fast. In the parcel except for the fur coat was a present in the form of a knitted rabbit fur coat. Very nice!!! Vendor HUGE thanks !!!",positive
82477,СПАСИБО ПРОДАВЦУ!!! ТОВАР НЕ ПРИШОЛ!!! ВЕРНУЛ ДЕНЬГИ!!!,positive
68038,Быстро Качественно. Я довольна,positive
79635,"все понравились , есть немного ниток но не критично, гулять с ребенок самое то.",positive
82192,"Соответствие, цена=качество, лямочки тоненькие и просто наметаны, и подол сорочки сзади обработана тольког обметочной строчкой. Ничего страшного, всё исправимо)",positive
18573,Размер не соответствует заказонному,negative
83024,качество хорошее. до Воронежа дошло за 2 недели. ставлю 4 только потому что заказывала другой цвет,positive
80430,отличный товар. Жена довольна. Спасибо продавцу. Товар качественный. Советую,positive
8183,"На фото парка без капюшона, пришла с капюшоном, рукава коротковаты, нитки торчат, открыла спор , вернули часть денег, продавец долго отправлял товар, но куртка пришла недели за две",negative
44968,"не подошел по размеру , по талии наверное на 50 размер ((а так качество супер",neautral
77432,"Качество отличное!  Нареканий  -  не имею! Цвет  насыщенный   яркий!  Ткань  фактически  не  линяет! Но описание не  соответствует  в  действительности,  что  касается  размера!  Я  взяла  самый  большой  размер - 5 XL. Рубашка  оказалась  мне  мала. Мои  параметры: грудь - 110  см, талия  - 90 см, бедра - 110 см. Я  предполагала,  что  будет  плотненько,  но  что  не  сойдется  вообще не  предполагала. Для  того  чтобы застегнуть эту  рубашку и  чтобы она  смотрелась  не  как  на барабане  мне  нужно  похудеть по  всем  позициям  на  5 - 7 см! Тем,  кто  выбирает - этот  товар  рекомендую это  учесть! Снимаю  одну  звезду за  неточное  описание размера  рубашки!",positive
