,feedback,mark
41109,"С этим заказом полная ж...)заказала,оплатила,продавец дал трек,вроде бы все нормально,трек отслеживался,пока не смутило,что посылка доставлена в Кострому.открыла спор,продавец дал новый трек,по отслеживанию увидела,что только отправил посылку.в итоге посылки до сих пор нет,хотя с момента нового отправления прошло 22 дня.продавец долго не одобрял возврат денег,но в конечном итоге,вернули.не рекомендую,и.к потеряете своё время.",neautral
25943,Слишком глубокий вырез,negative
30421,топ так себе. получила примерно через полтора месяца в нижегородскую область. по размеру  - великовато.( хотя почитав отзывы и так заказала меньше).,neautral
35004,"к сожалению пришел другого цвета, ошиблись.(1000руб. вернул)
а так свитер отличного качества, соответствует размерной сетке. уже третий заказали.",neautral
56968,"заказ пришел быстро!Кофточка хорошая,без косяков!мне очень понравилась,только я взяла бы на размер меньше,заказала М,очень просторная,на мою М можно заказать S!",positive
45701,"Пончо теплое, но пух очень лезет",neautral
47501,"За свою цену - нормально синтетическое платье. Нитки, конечно, торчат отовсюду. Мнётся сильно. Размер очень большой, пришлось ушивать ",neautral
43694,"Плотная, темнее чем на фото. Швы не аккуратны. Нитки торчат. Подол не подшит и в местах швов их видно с внешней стороны",neautral
60453,"Дошла буквально за 2 недели, цвет приятный, универсальная юбка",positive
28855,"шапка хорошая, но почему-то продавец не сделал кнопку куда прикреплять пумпон.",neautral
65456,Отличная рубашка. На ОГ 107 и ОТ 97  5XL великовато. Но я и брала посмотреть. На мои размеры хорошо подходит 4XL.,positive
53857,товар шел долго,neautral
7469,"ужасный цвет и качество, катышки будут после первой носки.",negative
28105,"Комбинезон пришел в Москву быстро, недели за две. К сожалению размер не подошел. По отзывам на свой 46-ой размер заказала L, думала будет свободный как на модели, но он оказался в обтяжку: не так конечно, чтобы натянуть не могла, но смотреться он должен явно не так (
Качество комбинезона очень хорошее, всё прошито аккуратно, без торчащих ниток. Ткань очень приятная. Открыла спор - продавец сразу согласился на возврат полной суммы денег без возврата товара. Деньги правда еще не перечислили, но вроде должны в течение 30 дней. 
Очень жаль конечно, что комбез не подошел ( он очень клевый ((",neautral
8060,"отправили мой заказ в другой город,
 открывала спор, продавец попросил закрыть, якобы мне вышлет заново товар, в итоге спустя три месяца я так ничего и не дождалась(",negative
9964,"Ждала заказ 3 месяца, деньги согласились вернуть только через спор. Разочарована",negative
24946,"заказ не получила, застрял где то на территории России,по этому ставлю две звезды  , но деньги вернули быстро, продавец общительный, в общем рекомендую",negative
30980,"Заказывала серые, пришли черные. Когда открыла, подумала, что будут малы, но все сидит отлично, только вот ниточки торчат.",neautral
23973,"я заказывала белый цвет, а прислали какой то - то ли жёлтый, то ли цвет- чай с молоком , но в любом случае не то что я заказывала! ужасно, плохо, очень плохо!",negative
48083,"Заказ пришёл за 14 дней до РС(Я). Качество хорошее. Заказывала бордовый цвет, на картинке вроде бордовый, но в реале какой-то тусклый цвет. Заказывала размер s, ношу 42. Но платье слишком большое, больше смахивает на какой-то мешок. Больше подойдёт для полных. Материал не понравился. Можно сказать платье для любителя ",neautral
31517,"платье оказалось большим, хотя продавец сказал, что мои параметры подходят. качество хорошее.",neautral
38103,"честно?хрень,единственный плюс так это безумно приятно кружево)хотя через сутки трусики превратились на размер больше.",neautral
38757,"размер не  совпадает с описанием , открывала спор, общение с продавцом не понравилось,спор  помогла решить служба поддержки алиэкмпресс",neautral
15480,"Ужасный продавец, списывались с ним , договорились на одних цветах, прислал другие. Не советую ни товар, ни продавца.",negative
22034,цвет и размер не соотвнтствует заявленному!!!! разницы между L и M вообще ни какой. всегда скиптически относилась  к вещам с алиэкспресс. это был мой первый и последний заказ вещей!!!!,negative
36477,"Товар пришёл быстро до Сочи, сложен и упакован идеально,  стоило постирать, тут же настиго разочерование, стирала ледяной водой детским парашком, цветы поплыли, такое ощущение что ткань села, вообщем расстроилась(",neautral
77883,"приехал заказ быстро ! )) очень понравились, закажу еще в другом цвете) спасибо!",positive
39218,"отправили  почти через месяц.шло долго.у платья очень высоко резинка,почти подгрудью.размер подошел",neautral
24869,"ждала 60 с лишним дней, открыла спор чтобы хотя бы вернули деньги, попросили закрыть спор и ждать 2 недели, я не стала закрывать спор, через пару дней спор как-то был сам закрыт , деньги не вернули, посылки нет, мерзкий продавец",negative
73671,это уже вторая рубашка в этом цвете. первую взяла на ОГ 108 -xxxl. оказалась тесновата в груди отдала сестре следующие брала уже ...побольше хлопок плотный.как всегда отличное качество! ⭐⭐⭐⭐⭐,positive
77395,Блузка очень понравилась.  И размер подошёл.  Отличный вариант за эту сумму,positive
31042,"товар пришел в течение месяца, размер не соответствует действительности.",neautral
46643,"модель заявленная на фото не соответствует реальности,рукава короткие,сшито криво",neautral
1592,пришло велико по размерам на 52 заказала 4хл а по факту кофта на 56-58,negative
56931,"Польто очень качественное,цвет бликует ,так оно  темного зеленого цвета на свету,в помещении реально смотриться темно синим,стеганно красиво,ромб наискось ,тем самым визуально стройнит,и лично мне нравиться ,что ткань не блистит ,мех чернобурка, красивый не лезит.Спасибо за качественный товар",positive
75476,Заказывали на подарок за два месяца до нг. Не успели..,positive
50464,"Заказывала XL, очень маломерит",neautral
14747,"ужасная доставка, пришло через 38 дней...продавец отвратительный, на мои сообщения не отвечал, игнорировал...не советую вообще заказывать у этого продавца, кофта пришла грязная, в пятнах, как будто по ней ногами прошлись...очень недовольна такой доставкой...",negative
22433,Даже одной звезды много. Размер совсем соответствует. 7 xl еле влезает на просто xl. Меньшие размеры только на игрушки. При открытии спора предлагают товар отправить обратно. Но отправка товара стоит больше самого товара. В общем БАРОХЛО. К тому же отправитель не оплатил доствавку товара. И наша почта предложила мне оплатить доставку самой. Я отказалась и неделю товар провалялся в отделении почты пока продавец улаживал свою задолженность.,negative
29304,"все супер, только горло узкое по сравнению с описанием и запах отвратительный, 3-ий день не может выветриться, 2 раза уже стирала, но запах все еще присутствует",neautral
16117,Жуткая синтетика. Не стоит даже 300 рублей. На 46 в обтяжку.,negative
61096,"на 48 размер,  объем груди 96см., xxxl велико.",positive
2148,"для такой цены нормальная ОСЕННЯЯ куртка. но ни как не зимняя как написано в описании, была очень расстроена, пришлось идти покупать другую зимнюю куртку",negative
74402,"Футболку проучила достаточно быстро. Материал плотный, после стирки не села. Я довольна!",positive
38241,короткое. маломерит. воняет ужасно,neautral
71849,хорошая рубашка. заказом довольная,positive
8587,"Отвратительный товар , не понятно по каким критериям отправляет!!!!!! Размер М не подходит на мои параметры , сшит на слона! Мне S нужен был , что касаемо параметров прописанных в размерной сетке, то там нет никакого совпадения! Размер придуман из головы !!!!!продавец обманщик ещё тот, пытался убедить что выслал  нужный мне размер! Но посылка что в Рязань!!!!!!а я в Москве как бы живу! Но да ладно! Алиэкспресс вернул деньги и слава богу! Но продавецгандон ещё тот!!!!",negative
33203,"Товар не пришел, но деньги вернули(",neautral
52987,"Футболка нё дошла, продавец пообещал вернуть деньги.  ",neautral
27478,"товар не отправил,дал левый трек код",negative
18507,"Ткань не такая плотная как заявлена продавцом. Вырез на спине и на горле не совпадает!? А в этом и фишка кофты,очень огорчило!!!  Пригодна носке только дома и в огороде..... Увы.",negative
12677,объем груди заявлен не правильно..  мало на 120.,negative
39754,куртка среднего качества.джинса. не тяжелая.я заказала м. пошив куртки не стандартен.обьем бедер не указан.при моем обьеме 104 см не сошлось  на 15 см.обьем груди 102 см .поставила бы 5 звезд если бы хтоть смогла застегнуть куртку. на фото продавца крой куртки прямой.а эдесь сужается.,neautral
67272,"Кофта супер, мягкая, тёплая. Правда края не обработаны, но это и не нужна, смотрится хорошо, мне очень нравится.",positive
42281,"Кофточка короткая, маленькая, тоненькая. Никакой это не кардиган,  короткая, немного ниже пояса. 4хl размер где-то на 46-48. Пришла с затяжкой, совсем не довольна заказом.  Фасон в общем-то оригинальный,  кофта сзади короче, чем спереди. Если бы была подлиннее и по размеру, то было бы всё нормально.
Продавец вроде нормальный, сначала не было заказанного цвета, написал сообщение,  и цвет заменили. Но вещь не понравилась.",neautral
62176,"Она идеальна!  Цвет приятный розовый пудровый,  ткань плотная струящаяся,  доставка курьером до двери. Талия 67см у меня,  рост 160, юбка села как влитая,  длина до середины икры.  Спасибо.",positive
72304,"цвет чуть отличается, чем на фото. но сама по себе юбка очень хорошая. пришла меньше, чем за 10 дней.",positive
45788,"это смешно , размер на 10 летних детей.  бантик отлетел сразу",neautral
42233,размер не соответствует,neautral
12926,"Заказ не отслеживался,продавец писал что загорелась кабина самолета и товар сгорел, потом потерялся.И только после того как  открыла спор и попросила вернуть мне деньги  за товар и доставку,сразу же товар отправили мне.Куртка хорошая и приятная ткань не на зиму а на осень и до -10 с тёплым свитером, есть погрешности плохо прошита и местами куски ткани и нитки торчат но этот ерунда.Нужно брать чуть больше на размер два чем носите этот вопрос согласовывать нужно с продавцом.Я ставлю одну звезду за отношение продавца к покупателю.",negative
34239,"косо пришита резинка спереди, туго в груди на ог 86 см. Стойкий запах.",neautral
44489,"Жаль, но товар я не получила. Открыла спор, продавец настаивал на закрытии и дальнейшем ожидании посылки. Не поверила( несколько посылок до сих пор жду, так же однажды поверив! Что касается этого заказа: Спор закрыли, деньги вернули. ",neautral
70815,"заказ до Ставрополя месяц, размерная сетка не соответствует, мои параметры бюст 108, талия 90, бедра 110, рост 160, вес 80, заказала 5xl, очень широкая, а рукава короткие, и качество сплошная синтетика, я не очень довольна покупкой, края просто прошиты оверлогом не совсем аккуратно, некоторые пишут стоит своих денег, а я считаю что независимо от цены качество должно быть всегда хорошее, может быть дешевым материал, но сшито должно быть на отлично, с продавцом не общалась",positive
6465,Was not delivered!,negative
62041,"Замечательное боди, только не угадала с размером. На свой 42 заказала s,мал. ",positive
61681,Спасибо очень хорош! Рекомендую,positive
64100,"Платье  нормальное, пришло за 3 недели . Продавец положил подарочек.",positive
21223,"Максимум толстовка, но ни как ни куртка. Заказом не довольна",negative
36054,"Короткие штаны, на картинке они до пяток. Минус за это две звезды",neautral
61401,"колготки, бомба.  на вечеринке блестели супер шикарно.",positive
50273,"Лямки длинные, грудь вываливается. Придётся подшивать... широковато , толстит платье визуально. Материал +5.",neautral
4608,"Самая ужасная покупка,  в смысле нервы мне потрепал продавец  сильно. Дал не верный трек отслеживания. На мои   сообщения отвечал, что товар в пути,потом  дал другой трек номер, типо это точно мой. Ждала 2недели когда другой точно мой трек будет хоть как то двигаться в пути, но была тишина. В итоге по  первому трек отслеживанию товар пришёл не ко мне ,  а в другой город. А  мой  трек номер все еще молчал. И о чудо, открыла СПОР и все как завертелось, закрутилось , все ожило и сразу правильно на мой адрес отправилось. Короче пришло  потом в течении 3х недель. Спор закрыли в пользу продавца, так как товар все таки пришёл ко мне. БУДЬТЕ ВНИМАТЕЛЬНЕЕ, КОНТРОЛИРУЙТЕ, И СЛЕДИТЕ ЗА ТРЕК НОМЕРОМ, ЗА ЗАЩИТОЙ  ЗАКАЗА И АДРЕСОМ ДОСТАВКИ. И ОСОБО НЕ ДОВЕРЯЙТЕ ТАКИМ ПРОДАВЦАМ.",negative
22081,резинка на поясе порвана,negative
11695,Пошив косой и не правильный ,negative
39971,"Берите на размер меньше чем надо , материал -синтетика , закатается быстро . Осталась не в восторге",neautral
52514,"Юбка сделана не качественно, ткань для нее выбрана так же не очень хорошая, будет сильно мяться и для нее необходим подъюбник. По длине оказалась длиньше, чем ожидалась.",neautral
1336,большая,negative
37604,"Пальто хорошего качества, но оказалось маломеркой.... подарила сестре ",neautral
53003,"Все было бы замечательно, но куртка сшита не качественно, торчащие нитки портят все впечатление...(",neautral
64803,Cool,positive
77822,"Заказывала во второй раз - первый, бежевый, служит верой и правдой. На ОГ 90 ОПГ 74 размер впритык, даже немного вываливается, хотя первый заказанный беж отлично сидел! Видимо, разные партии. Только ручная стирка!",positive
44900,Ткань как у сорочки,neautral
42306,"Цвет не соответствует описанию,торчат нитки на изнаночной стороне,джинса не плотная,растянется",neautral
78195,благодарю быстро и точно размер в размер,positive
67114,"Шапка пришла быстро,цвет молочный,форму держит,тепленькая.Шапка понравилась.",positive
70859,В Омск пришло за 14 дней.  Товар соответсвует описанию. Дочери очень нравится.  Говорит очень теплая. На рост 152 и вес 45 кг. брали S.,positive
41133,"Продавец дал неверный трек, на вопросы не отвечал.После открытия спора предоставил верный номер. Платье по качеству понравилось, жалко, что продавец не заботится о своих клиентах и игнорирует их. По размеру подошло, мои параметры 94-72-97 рост 172, рукава коротковаты, но я всегда их закатываю, люблю 3/4, так что не критично.",neautral
76296,"Советую брать свой обычный размер.
Материал немножечко смущает, он не гладкий, а рефленый и синтетика. Мне бы больше понравился гладкий. Но в целом модный цвет и оригинальность модели все прощают.
Доставка курьером до двери, курьер позвонил за час в будний день, мне повезло, что я была дома.
Зато доставка очень быстрая - 16 дней.",positive
73547,"Thank You.
На 46 при росте 170 см XL сел хорошо.
Швы ровные. Ткань приятный эластан под кожу. Видно что вещь фабричная.
Сидят хорошо.",positive
66263,"все отлично, на 67/91 размер м. на рост 164. длина норм",positive
48977,"Джинсы по качеству хорошие, но вот с размером продавец ошибся",neautral
35935,размер не соответствует вашей размерной таблицы,neautral
73029,"Такой мягкий , такой теплый! Я очень довольна! Заказала М на свой 44 размер и не прогадала. Качество тоже замечательное. Есть чуть запах, но думаю после стирки будет уже хорошо пахнуть.",positive
11720,"Платье пришло порезанное и дырявое. Швы кривые, и петляют  ",negative
3360,"Брюки ужасно маломерят, xl больше похож на 44 российский размер. Пришлось пристраивать брюки, мерили 2 девочки с 46 и 44 размером.
Доставка так же не порадовала. Продавец долго не отправлял заказ, после посылка не успела прийти до окончания срока защиты. А за доставку были заплачены дополнительные деньги!",negative
61686,"Цвет яркий, нитки не торчат. Без запаха, очень мягкий. Мордочка вышлите качественно. Пришёл быстро. Единственное замечание, слабые нитки в швах. Через пару дней использования в нескольких местах поползли швы.",positive
37802,"До Амурской области заказ дошел за 20 дней. Все бы хорошо, если бы не ужасные нитки на изнанке.  На плечи 44 см и грудь 94 см будет тянуть. Ткань синтетика, тянется, но приятная к телу. Параметры кофты: длина 55 см, рукав 51 см, грудь (длина подмышками) 37 см.",neautral
78198,"отличный пуховик, L на рост 165, 44 размер села хорошо, меньше нет смысла заказывать. Посмотрим как будет носиться. Доставка со склада в России, очень быстрая.",positive
28423,"Размер не подошёл,хотя подбирал по всем правилам.",neautral
48176,"Заказала Л размер, а пр-шлось отдать сестре, которая носит С размер. Печально(",neautral
51927,просто не понравился,neautral
56175,"очень приятный, красивый, мягкий, легкий но очень тёплый шарфик, доставка месяц, упаковка хорошая. товаром довольна, советую.",positive
54628,"качество хорошее, мягкий. заказывала 95CD и ооочень мал на объем 110, а подошел на 100. пришел за полтора месяца",neautral
67656,"Качество рубашки отличное, ткань плотная, нитки немного торчат, но вышивка чёткая. Брала размер М на свой XS-S, сидит немного свободно, рукава чуть большие, но по плечам как раз. Не знаю, может модель такая. Доставка 3 недели. В целом заказом довольна, спасибо!",positive
38559,"цвет не белый, швы прошиты плохо",neautral
68089,"Все отлично. Доставка очень быстрая, качество на уровне. Рекомендую, очень хороший продавец!",positive
67154,"Тёплые штаны приятно к телу но не угадала размером, надо было заказать 2XL  рекаминдую  доставка месяц.",positive
38835,"Заказ шел 2 недели. Думала, что качество будет получше, да еще и дырка на штанах. Вообщем не очень понравились.",neautral
19730,все в затяжках.,negative
4754,"С продавцом связывалась, обещал решить проблему, но просто закрыл трек так и не доставив товар и деньги не вернули.... Очень растроена. Не рекамендую этот магазин -  товара не увидете и денег обратно не получите.",negative
15881,осень плохая долгая доставка. прислали не на тот адрес,negative
54803,"Заказывала другую модель, но пришла с бусинами на рукавах. Открыла спор, попросила вернуть денежные средства. Продавец одобрил спор, через два дня денежки вернулись. сняла лишь одну заезду, тк продавец оказался культурным и сразу признал свою вину. ",positive
71186,"на осень однозначно.размер можно было еще больше взять.вообще ношу м,заказала L рукава коротковаты и чуть в груди жмет.т.е. на свитер не надеть.немного расстроилась.",positive
228,"Штаны идеально подошли по размеру. Кофта короткая, никак не на рост 165 см., как было указано в таблице размеров, у меня рост 160см.,на рукаве поперечный шов, из-за которого рукав в ширину вообще не тянется. Т.е. кофта на выброс. До этого заказывала такую же пижаму в другом магазине, это же размер, все подошло идеально. Я высылаю фото, на котором видно и шов и длину кофты, сравните с длиной показанной вами на картинке.",negative
42973,"Заказывала, чтобы платки грели плечи зимой, но это 100% синтетика, да еще и электризуется так, что искры летят! Выброшенные деньги.",neautral
78214,"подошли, спасибо",positive
6671,Заказ не пришёл и не отслуживался. Открывали спор . Продавец не общительный.,negative
21143,"Леггинсы классные, но просвечивают все. Носить только дома((очень жалко",negative
13193,"Не пришли, какой раз заказываю, так и не высылают...деньги вернули в очередной раз",negative
12102,"товар не пришёл, защита закончилась но посылки так и нет.",negative
74002,Доставка очень быстрая. Спасибо,positive
24419,"Товар так и не пришёл. Продавец долго морочил голову, продлевал защиту и отказывался возвращать деньги. Не рекомендую этого продавца. Продавец пытался обмануть, просил закрыть спор и указать причину, что я якобы получила товар, а он мне вернёт деньги. Спасибо поддержки AliExpress за то что вернули полностью деньги и принесли свои извинения. Продавец мошенник!",negative
54902,классные труселя спасибо,positive
51105,"Плюсы: трек пришел быстро, отслеживался, упаковано хорошо. подошел по размеру. Но есть один большой минус. одела один раз и сразу вся блюза скаталась и ткань "" заваласилась"". Что очень разочаровала (",neautral
69822,"хороший пуховик, ношу  с удовольствием",positive
31692,"Заказала два разных пальто одного размера,  другое пальто в самый раз, а у этого проблемы с рукавами. В отзывах уже писали, что узкие рукава, это не совсем верно. Внизу рукава нормальные, очень некомфортный переход от плеча к рукаву. Плечи вроде и по размеру, но в этом месте пальто сидит очень туго, носить я его наверно буду, но нормальную кофту под него уже не надеть, хотя внизу пальто очень широкое, может поддувать. Брать на размер больше пальто такое ширины тоже не вариант",neautral
65143,"жене очень понравились, размер 2 русский",positive
38224,"Дешёвый китай, не такая как на картинке , грязная , доставка больше месяца",neautral
29808,"Доставка до Питера долгая, полтора месяца. На российский 48 размер XL в обтяжку. Шов на одном плече косой-кривой 
За 625 рублей не стала бы такое рекомендовать.",neautral
27207,Продавец дал левый трек для отслеживания ( товар пришел со всем на другого человека! Жду возврата денег,negative
81479,"Доставка в Красноярск 2 недели,  XL на 46 хорошо подошел.",positive
68578,"товар пришёл быстро, красивые трусики.",positive
56800,"Спасибо! Очень понравилось! Качество хорошее и размер подошел. На 44 р взяла М, как посоветовал продавец.  Доставка очень быстрая! Я довольна! На рост 160 см смотрится как платьишко.",positive
20735,комбинезон  так и не пришло .Казань в этом магазине не заказываете хотя продавец общительный.заказывали две вещи так и не дошли.,negative
13656,"на рост 165 и вес 60, грудь 4 размера не подошёл. идеально бы села на грудь размера 3.",negative
67925,"Замечательная вещь, теплая, мягкая, красивая, удобная. Очень нравится! Подошла по размеру на 50-52.",positive
33362,32 как 30...но только длинные.на 175 см роста. но по спине длинные-это плюс.а вот 30 на 29.туговатые,neautral
68160,супер качество. магазин отличный. доставка очень быстрая с отслеживанием. рекомендую однозначно,positive
